acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude
444310,,Slight,1,1,23/06/2010,Wednesday,23,June,10,0,20,230,A,90,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,8,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324790,673730,520932,Junction,Cyclist,361212,unset,EH24AX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.95069206722525,-3.205951522090438
445110,,Slight,2,1,21/06/2010,Monday,21,June,10,20,25,230,A,71,Single carriageway - 2 lanes,50,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,314560,669180,517744,Junction,T.V.N.P.,361213,unset,EH278EB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.90811101676858,-3.368278691199551
445210,,Serious,1,1,18/06/2010,Friday,18,June,10,13,0,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326200,672500,532732,Junction,Pedestrian,361214,unset,EH91ND,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93986206639021,-3.1830409761494844
446110,,Slight,2,1,23/06/2010,Wednesday,23,June,10,8,45,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325990,672080,566264,Segment,T.V.N.P.,361215,unset,EH91UF,Control by school crossing patrol,Pedestrian phase at traffic signal junction,At scene,55.93605694576324,-3.186286715468965
446610,,Serious,3,1,23/06/2010,Wednesday,23,June,10,8,10,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328210,670660,530083,Junction,M.V.N.P.,361216,unset,EH165RH,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.92363817728503,-3.1503802849013076
447110,,Slight,2,1,23/06/2010,Wednesday,23,June,10,9,20,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,702,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324500,671930,522291,Junction,T.V.N.P.,361217,unset,EH104DH,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.93447756846042,-3.2100898622404053
447210,,Slight,2,1,23/06/2010,Wednesday,23,June,10,14,30,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325930,674380,520599,Junction,Bus,361218,unset,EH13JG,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.956708197504504,-3.1878794173173253
447310,,Slight,2,1,23/06/2010,Wednesday,23,June,10,14,20,230,A,900,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327010,675940,558521,Segment,T.V.N.P.,361219,unset,EH67AA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.970886964546224,-3.171009484207544
447410,,Serious,1,1,23/06/2010,Wednesday,23,June,10,15,15,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325170,673890,521058,Junction,Pedestrian,361220,unset,EH22HB,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.95218871222747,-3.199912364020928
448110,,Slight,2,1,23/06/2010,Wednesday,23,June,10,20,30,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325950,673600,521106,Junction,T.V.N.P.,361221,unset,EH11HN,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.949704686646506,-3.1873446448452576
448210,,Slight,3,1,18/06/2010,Friday,18,June,10,14,20,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325430,674240,566762,Segment,M.V.N.P.,361222,unset,EH21JX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.95537316008311,-3.195846660629949
448310,,Slight,2,1,22/06/2010,Tuesday,22,June,10,19,25,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,322560,675810,0,Unset,Cyclist,361223,unset,EH44BE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96902129462671,-3.2422507864824848
449110,,Slight,3,1,24/06/2010,Thursday,24,June,10,8,20,230,A,772,Single carriageway - 2 lanes,20,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327230,670710,569303,Segment,M.V.N.P.,361224,unset,EH165TY,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.92393986954765,-3.1660723961469506
450310,,Slight,1,1,24/06/2010,Thursday,24,June,10,9,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325370,676730,10310007,Junction,Cyclist,361225,unset,EH53BJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.97773092073903,-3.1974981366517463
450710,,Slight,1,1,22/06/2010,Tuesday,22,June,10,8,55,230,Unclassified,,Single carriageway - 2 lanes,30,Multiple junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322050,675520,12233423,Junction,Pedestrian,361226,unset,EH42RG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96633372870596,-3.2503353277611557
452610,,Slight,1,1,25/06/2010,Friday,25,June,10,12,30,230,A,702,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324460,670720,529795,Junction,Pedestrian,361227,unset,EH106AB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.92360211728698,-3.210391010042542
453310,,Slight,2,1,25/06/2010,Friday,25,June,10,17,30,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321980,668750,0,Unset,Cyclist,361228,unset,EH130BH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9055099239153,-3.2494968923675103
455510,,Slight,2,1,21/06/2010,Monday,21,June,10,15,20,230,A,90,Dual carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,312850,677250,555684,Segment,T.V.N.P.,361229,unset,EH309SS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.98028956468006,-3.3982329901746726
456110,,Slight,2,1,27/06/2010,Sunday,27,June,10,10,40,230,A,8,Roundabout,30,Roundabout,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,317560,672610,9658421,Junction,T.V.N.P.,361230,unset,EH129BS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9394444441867,-3.321353237192154
456310,,Slight,2,2,27/06/2010,Sunday,27,June,10,18,15,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320640,676130,557318,Segment,T.V.N.P.,361231,unset,EH45EX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.971581855446175,-3.2730972531316667
456410,,Slight,1,2,27/06/2010,Sunday,27,June,10,20,20,230,A,901,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326630,676290,531370,Junction,Pedestrian,361232,unset,EH66TG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9739729632573,-3.177191826618795
456510,,Slight,1,1,27/06/2010,Sunday,27,June,10,5,0,230,A,90,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320530,675140,555456,Segment,S.V.N.P.,361233,unset,EH46AH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96267096256677,-3.2745667578741924
456610,,Serious,3,1,25/06/2010,Friday,25,June,10,22,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324210,671700,559388,Segment,M.V.N.P.,361234,unset,EH105EN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93236585326208,-3.2146660029888663
460110,,Slight,2,1,28/06/2010,Monday,28,June,10,20,30,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,Road works present,None,No overtaking,322740,672750,559290,Segment,T.V.N.P.,361235,unset,EH125NZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94156343414338,-3.238489589792431
460410,,Slight,2,1,28/06/2010,Monday,28,June,10,16,45,230,A,6095,Single carriageway - 2 lanes,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,331030,671650,530053,Junction,T.V.N.P.,361236,unset,EH153HP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93294463442248,-3.105516689733181
462010,,Slight,1,1,28/06/2010,Monday,28,June,10,18,15,230,B,701,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,319680,669790,551624,Segment,Bus,361237,unset,EH142SW,Control by other authorised person,Central refuge - no other controls,Elsewhere,55.91447303154736,-3.2865842612344074
462110,,Slight,2,1,29/06/2010,Tuesday,29,June,10,12,20,230,C,,Dual carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321900,676200,519118,Junction,Cyclist,361238,unset,EH44TY,Control by other authorised person,Central refuge - no other controls,At scene,55.97241748074683,-3.25293512074743
463210,,Slight,1,1,28/06/2010,Monday,28,June,10,16,45,230,A,8,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324030,673210,550604,Segment,Pedestrian,361239,unset,EH125EY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.94590134928601,-3.217972021162439
463610,,Slight,2,1,21/06/2010,Monday,21,June,10,8,40,230,A,700,Single carriageway - 2 lanes,30,Other junction,Automatic Traffic Signal,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,325670,672510,521871,Junction,Cyclist,361240,unset,EH91JU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.93987013320798,-3.191526451972471
463710,,Slight,2,1,19/06/2010,Saturday,19,June,10,14,25,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320570,671960,0,Unset,Cyclist,361241,unset,EH127EB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.93411312531333,-3.272988417324767
464110,,Slight,2,1,29/06/2010,Tuesday,29,June,10,19,50,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,327500,672100,0,Unset,T.V.N.P.,361242,unset,EH165HX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93646697235277,-3.1621265114497232
464910,,Slight,1,1,29/06/2010,Tuesday,29,June,10,0,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lighting unknown,Other,Dry,None,None,No overtaking,326730,672830,0,Unset,S.V.N.P.,361243,unset,EH87AT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.942907593266675,-3.1746479564819263
465710,,Slight,1,1,29/06/2010,Tuesday,29,June,10,13,25,230,A,1140,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,329680,674350,523458,Junction,Bus,361244,unset,EH76TQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.95700298816299,-3.1278251572881812
466510,,Slight,2,1,30/06/2010,Wednesday,30,June,10,16,0,230,A,90,Dual carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312440,677990,555411,Segment,T.V.N.P.,361245,unset,EH309XY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.98686155288827,-3.4050424436921087
468210,,Slight,1,1,30/06/2010,Wednesday,30,June,10,14,0,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,322980,675650,559982,Segment,Bus,361246,unset,EH42NY,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.96765170302528,-3.235477881686236
468610,,Slight,1,1,30/06/2010,Wednesday,30,June,10,1,15,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326360,672160,532756,Junction,S.V.N.P.,361247,unset,EH91PH,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.936832461121284,-3.1803872381722234
469210,,Slight,1,1,30/06/2010,Wednesday,30,June,10,12,40,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326320,672170,566309,Segment,Bus,361248,unset,EH91PU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.93691615344836,-3.1810301292799004
469310,,Slight,3,1,01/07/2010,Thursday,1,July,10,13,20,230,A,90,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323940,674240,555582,Segment,M.V.N.P.,361374,unset,EH43AF,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.95513929455315,-3.219703609181858
469610,,Slight,1,1,01/07/2010,Thursday,1,July,10,9,10,230,Unclassified,,Unknown,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,325550,674890,520230,Junction,Bus,361375,unset,EH36NE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.961230606817786,-3.194105078087922
470010,,Slight,2,1,01/07/2010,Thursday,1,July,10,17,20,230,B,701,Dual carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319610,669960,12201412,Junction,T.V.N.P.,361376,unset,EH142SW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.91598835912903,-3.287754478110356
471510,,Slight,2,2,02/07/2010,Friday,2,July,10,10,10,230,A,720,Roundabout,40,Roundabout,Automatic Traffic Signal,A,8,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,317510,672520,9658433,Junction,T.V.N.P.,361377,unset,EH129BS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93862744379421,-3.3221258990642166
471610,,Slight,1,1,02/07/2010,Friday,2,July,10,12,58,230,A,1,Single carriageway - 2 lanes,30,Other junction,Automatic Traffic Signal,Unclassified,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,327370,674390,520725,Junction,Pedestrian,361378,unset,EH75SU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.95701816951012,-3.164824544086663
471810,,Serious,2,1,02/07/2010,Friday,2,July,10,9,0,230,A,702,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324880,672560,549171,Segment,Cyclist,361379,unset,EH104HW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94019631736488,-3.20418438841651
472410,,Slight,2,1,02/07/2010,Friday,2,July,10,8,40,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,331450,667910,2579269,Segment,T.V.N.P.,361380,unset,EH181AS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.899407792163814,-3.0978453811439217
472810,,Slight,2,1,01/07/2010,Thursday,1,July,10,16,40,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,323490,668980,564911,Segment,T.V.N.P.,361381,unset,EH139HZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,\3,55.90781863921624,-3.225416027574871
473610,,Slight,1,1,02/07/2010,Friday,2,July,10,19,50,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326530,673820,558221,Segment,Pedestrian,361382,unset,EH88DD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.95177005403944,-3.178119306904853
473910,,Slight,2,1,02/07/2010,Friday,2,July,10,17,50,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325890,674370,566780,Segment,Cyclist,361383,unset,EH13JG,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.956612192758804,-3.1885171475925755
474710,,Slight,1,1,02/07/2010,Friday,2,July,10,19,0,230,A,900,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326870,675730,519484,Junction,Bus,361384,unset,EH65HB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96897923874456,-3.17319490644032
475010,,Slight,1,1,03/07/2010,Saturday,3,July,10,7,0,230,Motorway,8,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,317950,670850,6452850,Segment,S.V.N.P.,361385,unset,EH129BU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.92370219426486,-3.3145760589348563
475410,,Slight,2,1,03/07/2010,Saturday,3,July,10,14,20,230,A,900,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325950,674130,558533,Segment,Cyclist,361386,unset,EH13SJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.95446558104904,-3.187490405289999
475610,,Serious,1,1,03/07/2010,Saturday,3,July,10,18,40,230,C,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325750,671510,523863,Junction,Cyclist,361387,unset,EH92EA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93089967663132,-3.1899705717587836
475810,,Slight,1,1,02/07/2010,Friday,2,July,10,19,15,230,A,900,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327260,676380,558434,Segment,Pedestrian,361388,unset,EH67BG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.974877407632995,-3.167123996959263
475910,,Slight,1,1,03/07/2010,Saturday,3,July,10,3,10,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324220,672740,521838,Junction,Pedestrian,361389,unset,EH111AL,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.94170949346587,-3.214798396989497
476410,,Slight,1,1,25/06/2010,Friday,25,June,10,3,25,230,A,702,Single carriageway - 2 lanes,30,'T' or staggered junction,Authorised Person,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324770,673410,10254972,Junction,Pedestrian,361249,unset,EH12DJ,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.94781444869941,-3.206182321739976
477010,,Slight,1,1,04/07/2010,Sunday,4,July,10,13,15,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,320100,668780,561847,Segment,Pedestrian,361390,unset,EH145DQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.90547064153809,-3.2795678503374477
478210,,Slight,2,1,04/07/2010,Sunday,4,July,10,16,0,230,C,,Single carriageway - 2 lanes,30,Crossroads,Authorised Person,Unclassified,,Daylight: street lights present,Fine with high winds,Dry,None,None,No overtaking,323500,672270,521991,Junction,T.V.N.P.,361391,unset,EH112JP,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.937373433257505,-3.2261890690653896
478310,,Slight,1,1,05/07/2010,Monday,5,July,10,9,0,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324850,673190,2106538,Segment,Pedestrian,361392,unset,EH39AL,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.94585077151364,-3.2048402749110148
478410,,Slight,1,1,30/06/2010,Wednesday,30,June,10,15,0,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325080,673210,521478,Junction,Bus,361250,unset,EH39DN,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.94606638061479,-3.2011641058752702
478510,,Slight,2,1,05/07/2010,Monday,5,July,10,15,50,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326180,673540,521139,Junction,Bus,361393,unset,EH89UE,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.949201148821466,-3.183646076650474
482510,,Slight,1,1,06/07/2010,Tuesday,6,July,10,16,35,230,A,8,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,320870,672850,550713,Segment,Pedestrian,361394,unset,EH126TS,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.942157133607566,-3.268449032924508
485210,,Slight,1,1,07/07/2010,Wednesday,7,July,10,7,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,315590,666020,0,Unset,S.V.N.P.,361395,unset,EH147BB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.8799087778396,-3.3508211117221283
485710,,Slight,2,1,06/07/2010,Tuesday,6,July,10,17,0,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324400,672520,522336,Junction,T.V.N.P.,361396,unset,EH39PP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.93976166546292,-3.211855635994541
486210,,Slight,2,1,07/07/2010,Wednesday,7,July,10,10,0,230,A,720,Single carriageway - 3 lanes,30,Roundabout,Automatic Traffic Signal,A,71,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318590,670310,2307045,Junction,T.V.N.P.,361397,unset,EH144AW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.918960528788524,-3.3041745608462594
486710,,Slight,2,1,06/07/2010,Tuesday,6,July,10,17,5,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323280,676730,12233130,Junction,Cyclist,361398,unset,EH51NG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9774010404726,-3.2309810886623893
487010,,Slight,1,1,01/07/2010,Thursday,1,July,10,17,33,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327930,674180,520761,Junction,Pedestrian,361399,unset,EH88JE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.95521620410955,-3.1558013766888275
487810,,Slight,2,4,07/07/2010,Wednesday,7,July,10,23,50,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326430,672840,532744,Junction,T.V.N.P.,361400,unset,EH89HZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94295153892162,-3.1794526221370187
487910,,Slight,1,1,06/07/2010,Tuesday,6,July,10,16,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,322670,675260,0,Unset,Pedestrian,361401,unset,EH42NL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.964098600582766,-3.2403308368884502
