acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported
135111,,Slight,1,1,25/01/2011,Tuesday,25,January,11,12,20,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312860,678290,0,Unset,Pedestrian,365477,unset,EH309SD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
135411,,Slight,2,1,24/02/2011,Thursday,24,February,11,15,40,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327100,675950,12238947,Junction,T.V.N.P.,345430,unset,EH67EQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,Elsewhere
136811,,Slight,2,1,25/02/2011,Friday,25,February,11,9,45,230,A,1,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,329090,673260,523626,Junction,Cyclist,345431,unset,EH87RR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
137911,,Slight,3,1,25/02/2011,Friday,25,February,11,13,55,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325570,673690,567177,Segment,M.V.N.P.,345432,unset,EH22EJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
139511,,Slight,2,1,26/02/2011,Saturday,26,February,11,23,30,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,B,901,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325910,674380,520599,Junction,T.V.N.P.,345433,unset,EH13JG,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
140311,,Serious,1,1,27/02/2011,Sunday,27,February,11,14,16,230,A,901,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326860,676000,531346,Junction,Pedestrian,345434,unset,EH65HX,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
140411,,Slight,1,1,25/02/2011,Friday,25,February,11,19,20,230,Motorway,9,Dual carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine with high winds,Dry,Road suface defective,None,No overtaking,313920,676870,0,Unset,S.V.N.P.,345435,unset,EH309SR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
140511,,Slight,1,1,25/02/2011,Friday,25,February,11,22,50,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,312740,678410,3948324,Junction,Pedestrian,345436,unset,EH309RE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
140811,,Slight,1,1,26/02/2011,Saturday,26,February,11,22,55,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325440,674060,566552,Segment,Pedestrian,345437,unset,EH22PF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
143111,,Slight,2,1,28/02/2011,Monday,28,February,11,10,10,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319830,671470,9659151,Junction,T.V.N.P.,345438,unset,EH113SH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
145211,,Slight,2,1,28/02/2011,Monday,28,February,11,0,1,230,C,,Single carriageway - 2 lanes,30,Multiple junction,Automatic Traffic Signal,A,700,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,324950,672960,533362,Junction,Cyclist,345439,unset,EH39JG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
145711,,Slight,2,1,22/02/2011,Tuesday,22,February,11,19,5,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326410,672190,532753,Junction,Cyclist,345440,unset,EH91SH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
145811,,Slight,2,1,01/03/2011,Tuesday,1,March,11,16,45,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326040,676330,563613,Segment,T.V.N.P.,345624,unset,EH64NX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
145911,,Slight,2,1,28/02/2011,Monday,28,February,11,18,2,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,319410,672390,0,Unset,T.V.N.P.,345441,unset,EH127PS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
146311,,Slight,1,1,01/03/2011,Tuesday,1,March,11,18,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,319620,676380,557148,Segment,S.V.N.P.,345625,unset,EH46JH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
147611,,Slight,2,1,26/02/2011,Saturday,26,February,11,18,30,230,B,9085,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,B,9085,Darkness: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,320600,675200,519738,Junction,T.V.N.P.,345442,unset,EH45BP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
148111,,Slight,2,1,02/03/2011,Wednesday,2,March,11,8,50,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,322230,673420,521259,Junction,Cyclist,345626,unset,EH126EB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
149711,,Slight,2,1,02/03/2011,Wednesday,2,March,11,17,56,230,A,7,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325940,673660,521103,Junction,Cyclist,345627,unset,EH11SB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
149911,,Slight,2,1,01/03/2011,Tuesday,1,March,11,16,45,230,Unclassified,,Single carriageway - 2 lanes,60,Other junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,Road signing defective or obscured,None,No overtaking,312940,674690,0,Unset,T.V.N.P.,345628,unset,EH299EQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
150211,,Slight,2,1,02/03/2011,Wednesday,2,March,11,17,20,230,A,70,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319220,668270,533110,Junction,T.V.N.P.,345629,unset,EH145JY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
151011,,Serious,1,1,03/03/2011,Thursday,3,March,11,19,27,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,321330,670950,564595,Segment,Pedestrian,345630,unset,EH142BB,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
151311,,Slight,1,1,03/03/2011,Thursday,3,March,11,17,35,230,A,702,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,324730,673590,548952,Segment,Pedestrian,345631,unset,EH12DA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
154511,,Slight,2,1,04/03/2011,Friday,4,March,11,10,30,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326000,673430,521589,Junction,Cyclist,345632,unset,EH11LL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere
154611,,Slight,2,1,04/03/2011,Friday,4,March,11,14,50,230,A,1140,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328880,674150,558023,Segment,T.V.N.P.,345633,unset,EH87RU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
155511,,Slight,2,1,04/03/2011,Friday,4,March,11,19,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324250,675960,563655,Segment,T.V.N.P.,345634,unset,EH52AA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
156811,,Slight,1,1,03/03/2011,Thursday,3,March,11,13,45,230,B,701,Roundabout,30,Roundabout,Give way sign or markings,A,8,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319310,672950,522903,Junction,S.V.N.P.,345635,unset,EH128SJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
157811,,Slight,2,1,05/03/2011,Saturday,5,March,11,12,45,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323340,674890,520071,Junction,Cyclist,345636,unset,EH41QL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
157911,,Serious,2,1,04/03/2011,Friday,4,March,11,20,30,230,B,901,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,B,900,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325370,675020,519819,Junction,T.V.N.P.,345637,unset,EH35HA,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
158011,,Slight,3,1,05/03/2011,Saturday,5,March,11,13,8,230,A,702,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,Pedestrian in carriagway - not injured,No overtaking,324830,673100,521400,Junction,M.V.N.P.,345638,unset,EH39AA,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
160711,,Slight,1,1,07/03/2011,Monday,7,March,11,9,6,230,A,901,Single carriageway - 2 lanes,30,Multiple junction,Automatic Traffic Signal,A,900,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326940,675920,522483,Junction,Bus,345639,unset,EH65HX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,Elsewhere
161211,,Slight,2,2,07/03/2011,Monday,7,March,11,10,10,230,Unclassified,,Single carriageway - 2 lanes,30,Multiple junction,Automatic Traffic Signal,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,Road works present,None,No overtaking,323640,671430,529594,Junction,T.V.N.P.,345640,unset,EH105DG,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
161811,,Slight,1,1,07/03/2011,Monday,7,March,11,16,46,230,C,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325230,674410,520533,Junction,S.V.N.P.,345641,unset,EH36QG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
161911,,Slight,2,2,07/03/2011,Monday,7,March,11,16,30,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324800,676860,0,Unset,T.V.N.P.,345642,unset,EH53LA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
162111,,Slight,2,1,07/03/2011,Monday,7,March,11,18,45,230,Unclassified,,Dual carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,327700,674020,0,Unset,Cyclist,345643,unset,EH87AT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
163011,,Slight,2,3,04/03/2011,Friday,4,March,11,14,30,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,321310,674820,12231233,Junction,T.V.N.P.,345644,unset,EH43TA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
163211,,Slight,3,1,07/03/2011,Monday,7,March,11,8,57,230,A,720,Dual carriageway - 2 lanes,60,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,327480,666900,2588061,Segment,M.V.N.P.,345645,unset,EH178SG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
164411,,Slight,2,1,08/03/2011,Tuesday,8,March,11,9,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Unknown,Dry,None,None,No overtaking,325450,676430,10310071,Junction,T.V.N.P.,345646,unset,EH64RB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
164511,,Slight,2,1,08/03/2011,Tuesday,8,March,11,8,45,230,A,702,Single carriageway - 2 lanes,50,Multiple junction,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324830,673060,521403,Junction,Cyclist,345647,unset,EH39BN,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
164911,,Slight,2,1,07/03/2011,Monday,7,March,11,12,25,230,A,6106,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,330470,671870,569114,Segment,T.V.N.P.,345648,unset,EH153EH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
165011,,Slight,1,1,08/03/2011,Tuesday,8,March,11,12,45,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326200,674600,2263132,Segment,Pedestrian,345649,unset,EH74AA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
166311,,Serious,2,1,09/03/2011,Wednesday,9,March,11,7,19,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326530,676900,0,Unset,Cyclist,345650,unset,EH66NE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
166811,,Slight,1,1,09/03/2011,Wednesday,9,March,11,6,40,230,A,720,Single carriageway - 3 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Snowing (without high winds),Dry,None,None,No overtaking,329160,667220,2579169,Segment,S.V.N.P.,345651,unset,EH178SD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
166911,,Slight,2,1,09/03/2011,Wednesday,9,March,11,8,25,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326010,675910,10217458,Junction,T.V.N.P.,345652,unset,EH65RQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
167911,,Slight,3,1,09/03/2011,Wednesday,9,March,11,10,10,230,A,71,Single carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine with high winds,Dry,None,None,No overtaking,313990,668990,549671,Segment,M.V.N.P.,345653,unset,EH278EB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
169111,,Slight,2,2,10/03/2011,Thursday,10,March,11,10,0,230,C,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine with high winds,Dry,None,None,No overtaking,321350,670960,529696,Junction,T.V.N.P.,345654,unset,EH142BA,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
169911,,Slight,1,1,10/03/2011,Thursday,10,March,11,17,10,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,327650,667720,0,Unset,Pedestrian,345655,unset,EH178AS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
170011,,Slight,1,1,09/03/2011,Wednesday,9,March,11,11,5,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319370,675070,0,Unset,Pedestrian,345656,unset,EH46EP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
172811,,Slight,1,1,11/03/2011,Friday,11,March,11,8,20,230,A,8,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325540,673920,551196,Segment,Bus,345657,unset,EH22DF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
173811,,Slight,2,2,10/03/2011,Thursday,10,March,11,13,0,230,A,8,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,320610,672810,521742,Junction,T.V.N.P.,345658,unset,EH127AR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
175211,,Slight,2,1,09/03/2011,Wednesday,9,March,11,16,0,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326790,672350,522078,Junction,Cyclist,345659,unset,EH165BS,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
175711,,Slight,3,1,10/03/2011,Thursday,10,March,11,16,28,230,A,71,Dual carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320900,671180,549776,Segment,M.V.N.P.,345660,unset,EH113PA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
176111,,Slight,2,1,15/02/2011,Tuesday,15,February,11,8,15,230,A,8,Dual carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323650,673230,517900,Junction,Cyclist,345443,unset,EH125JH,Control by other authorised person,No physical crossing facility within 50m,Elsewhere
176411,,Slight,1,1,12/03/2011,Saturday,12,March,11,9,20,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,330080,667700,2579205,Segment,S.V.N.P.,345661,unset,EH181AT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
176511,,Slight,2,1,13/03/2011,Sunday,13,March,11,7,15,230,Unclassified,,Single carriageway - 2 lanes,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,326980,672700,531412,Junction,Cyclist,345662,unset,EH87AT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
177311,,Serious,1,1,11/03/2011,Friday,11,March,11,16,42,230,A,8,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,Other object in carriageway,No overtaking,324930,673740,551190,Segment,Cyclist,345663,unset,EH22HG,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
177511,,Serious,2,1,13/03/2011,Sunday,13,March,11,10,50,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325120,674790,566687,Segment,Cyclist,345664,unset,EH35DQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
177911,,Slight,3,1,14/03/2011,Monday,14,March,11,10,40,230,B,900,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,324220,674700,520116,Junction,M.V.N.P.,345665,unset,EH41DS,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
178011,,Slight,2,1,14/03/2011,Monday,14,March,11,9,0,230,A,8,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,,Daylight: street lights present,Other,Dry,None,None,No overtaking,320810,672830,550713,Segment,T.V.N.P.,345666,unset,EH127AU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
178111,,Slight,2,1,23/02/2011,Wednesday,23,February,11,16,0,230,A,71,Dual carriageway - 2 lanes,20,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,319320,670650,560501,Segment,Cyclist,345444,unset,EH114HD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
178311,,Slight,1,1,10/03/2011,Thursday,10,March,11,10,2,230,A,702,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine with high winds,Dry,None,None,No overtaking,324450,670710,529795,Junction,Pedestrian,345667,unset,EH105QQ,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
180011,,Slight,1,1,15/03/2011,Tuesday,15,March,11,16,10,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lighting unknown,Raining (without high winds),Dry,None,None,No overtaking,323760,669180,564899,Segment,Pedestrian,345668,unset,EH139JW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
180811,,Slight,1,1,15/03/2011,Tuesday,15,March,11,10,45,230,A,90,Single carriageway - 2 lanes,40,'T' or staggered junction,Automatic Traffic Signal,B,701,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,318890,674910,519933,Junction,Pedestrian,345669,unset,EH48AR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
184011,,Slight,2,1,10/02/2011,Thursday,10,February,11,14,15,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325610,671530,523860,Junction,Cyclist,345445,unset,EH92DX,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
184411,,Serious,1,1,16/03/2011,Wednesday,16,March,11,12,30,230,Unclassified,,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,311990,677740,555318,Segment,Pedestrian,345670,unset,EH309SP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
185111,,Slight,2,1,16/03/2011,Wednesday,16,March,11,16,35,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325680,673850,551250,Segment,T.V.N.P.,345671,unset,EH11BQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
185511,,Serious,1,2,16/03/2011,Wednesday,16,March,11,18,30,230,A,900,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326050,674410,558575,Segment,Pedestrian,345672,unset,EH13JT,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
185711,,Slight,2,1,10/03/2011,Thursday,10,March,11,17,0,230,Unclassified,,One way Street,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lighting unknown,Unknown,Dry,None,None,No overtaking,325700,673730,2310553,Junction,Cyclist,345673,unset,EH11NY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
185911,,Slight,2,1,10/03/2011,Thursday,10,March,11,14,0,230,A,6106,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,330490,671750,530029,Junction,T.V.N.P.,345674,unset,EH164ND,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
186411,,Slight,2,1,17/03/2011,Thursday,17,March,11,14,20,230,A,6095,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,329820,671720,553868,Segment,T.V.N.P.,345675,unset,EH164RA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
186511,,Slight,1,1,17/03/2011,Thursday,17,March,11,15,0,230,A,90,Single carriageway - 2 lanes,30,Multiple junction,Automatic Traffic Signal,A,8,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324800,673720,520932,Junction,Pedestrian,345676,unset,EH24AN,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
186611,,Slight,1,1,17/03/2011,Thursday,17,March,11,16,50,230,A,701,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326790,671720,529474,Junction,Pedestrian,345677,unset,EH92AY,Control by other authorised person,Central refuge - no other controls,At scene
186711,,Slight,2,1,17/03/2011,Thursday,17,March,11,8,40,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,320120,669330,533257,Junction,Cyclist,345678,unset,EH143BR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
